Genes	Description	Preferred_name
Mhon_016465	Protein present in Fab1, YOTB, Vac1, and EEA1	-
Mhon_016470	Scavenger receptor Cys-rich	-
Mhon_016472	Homeodomain	-
Mhon_016473	maturation of 5.8S rRNA	-
Mhon_016475	neuropeptide Y receptor activity	-
Mhon_016476	Zinc-dependent metalloprotease	-
Mhon_016477	Belongs to the cullin family	cul-3
Mhon_016483	Retinoic acid induced 16-like protein	-
Mhon_016484	Belongs to the CRISP family	-
Mhon_016485	calcium:proton antiporter activity	-
Mhon_016487	zinc ion binding	-
Mhon_016489	angiomotin	-
Mhon_016490	RNA-DNA hybrid ribonuclease activity	-
Mhon_016491	Histamine receptor H3	-
Mhon_016492	positive regulation of centriole elongation	-
Mhon_016493	hydrogen peroxide-mediated programmed cell death	-
Mhon_016494	Von Willebrand factor A	-
Mhon_016500	PFAM Lectin C-type domain	-
Mhon_016501	Belongs to the peptidase C19 family	faf
Mhon_016503	propionyl-CoA carboxylase activity	-
Mhon_016507	endocytosis	-
Mhon_016509	cytoskeletal protein binding	-
Mhon_016510	Metalloendopeptidase activity. It is involved in the biological process described with proteolysis	-
Mhon_016514	N-acetyl-D-glucosamine kinase	-
Mhon_016515	Eukaryotic protein of unknown function (DUF872)	-
Mhon_016516	N-acetyl-D-glucosamine kinase	-
Mhon_016518	Cytochrome P450, family	-
Mhon_016519	Histone-lysine N-methyltransferase	Mes-4
Mhon_016520	Arginine and glutamate-rich 1	-
Mhon_016524	THAP domain containing 4	-
Mhon_016525	phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)	-
Mhon_016527	intraciliary transport involved in cilium assembly	ift-81
Mhon_016528	Signal peptidase complex subunit	-
Mhon_016530	positive regulation of collagen fibril organization	-
Mhon_016531	Catalyzes the cleavage of the N-glycosidic bond of deoxyribonucleoside 5'-monophosphates to yield deoxyribose 5- phosphate and a purine or pyrimidine base. Deoxyribonucleoside 5'- monophosphates containing purine bases are preferred to those containing pyrimidine bases	-
Mhon_016532	positive regulation of protein exit from endoplasmic reticulum	tag-123
Mhon_016533	intraciliary transport involved in cilium assembly	ift-81
Mhon_016535	hydrolase activity	-
Mhon_016536	hydrolase activity	-
Mhon_016537	UDP-glucose:glycoprotein glucosyltransferase activity	Ugt
Mhon_016539	Belongs to the type-B carboxylesterase lipase family	AChE-1
Mhon_016541	P-loop containing NTP hydrolase pore-1	-
Mhon_016542	cellular response to interleukin-11	sno
Mhon_016543	Belongs to the small GTPase superfamily. Arf family	-
Mhon_016544	post-embryonic digestive tract morphogenesis	ceh-28
Mhon_016546	Ring finger domain	-
Mhon_016548	Galectin	-
Mhon_016556	-	-
Mhon_016561	Coiled-coil domain containing 15	-
Mhon_016562	DNA binding	-
Mhon_016563	SWIB/MDM2 domain	-
Mhon_016564	SWIB/MDM2 domain	-
Mhon_016569	G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway	dmsr-8
Mhon_016572	G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway	dmsr-8
Mhon_016579	tRNA guanylyltransferase activity	-
Mhon_016580	Major facilitator superfamily	-
Mhon_016583	3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase activity	-
Mhon_016584	unc-93 homolog A	-
Mhon_016589	-	-
Mhon_016609	serine-type peptidase activity	-
Mhon_016610	dipeptidyl-peptidase activity	-
Mhon_016612	Broad-Complex, Tramtrack and Bric a brac	-
Mhon_016613	serine-type endopeptidase activity. It is involved in the biological process described with proteolysis	-
Mhon_016615	cadherin binding	alpha-Cat
Mhon_016616	potassium channel activity	-
Mhon_016621	Major intrinsic protein	-
Mhon_016622	Belongs to the MIP aquaporin (TC 1.A.8) family	-
Mhon_016623	glutamate-tRNA(Gln) ligase activity	-
Mhon_016624	DNA repair	-
Mhon_016628	DNA repair	-
Mhon_016634	Oxidoreductase	-
Mhon_016636	Multidrug resistance-associated protein	-
Mhon_016640	Hydrolase activity. It is involved in the biological process described with metabolic process	-
Mhon_016641	ankyrin repeat	-
Mhon_016643	Ras-related GTP-binding protein	-
Mhon_016644	Belongs to the cyclin family	CycB3
Mhon_016645	-	-
Mhon_016646	metalloendopeptidase activity	-
Mhon_016658	acrosome assembly	drongo
Mhon_016659	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery	C27F2.10
Mhon_016661	motor activity	-
Mhon_016662	motor activity	-
Mhon_016667	-	-
Mhon_016669	BRCA1 BRCA2-containing complex, subunit 3	-
Mhon_016670	Domain of unknown function with conserved HDNR motif	-
Mhon_016672	U4 U6.U5 small nuclear ribonucleoprotein 27 kDa	-
Mhon_016673	poly(ADP-ribose) glycohydrolase activity	-
Mhon_016678	7 transmembrane receptor (rhodopsin family)	-
Mhon_016679	Ankyrin repeat domain-containing protein 53	-
Mhon_016682	-	-
Mhon_016683	-	-
Mhon_016684	nucleotide-binding oligomerization domain containing 1 signaling pathway	cact
Mhon_016685	syntaxin binding	cpx
Mhon_016686	cell cycle G1/S phase transition	-
Mhon_016687	ADAM Cysteine-Rich Domain	-
Mhon_016698	Uncharacterized protein family UPF0029	-
Mhon_016703	3',5'-cyclic-GMP phosphodiesterase activity	-
Mhon_016704	peptidyl-serine dephosphorylation	tws
Mhon_016705	nucleic acid binding	Rox8
Mhon_016708	Belongs to the peptidase S51 family	-
Mhon_016711	Peptidase family S51	-
Mhon_016713	beta-1,4-galactosyltransferase	beta4GalT7
Mhon_016714	protein dimerization activity	slmb
Mhon_016715	H6 family homeobox 1	-
Mhon_016716	GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p	-
Mhon_016717	Sodium/hydrogen exchanger family	-
Mhon_016718	creatine transmembrane transporter activity	-
Mhon_016719	Neurotransmitter-gated ion-channel ligand binding domain	-
Mhon_016724	HEAT repeats	-
Mhon_016726	Belongs to the nanos family	nos
Mhon_016729	channel interacting protein 4	-
Mhon_016729	Calcium ion binding	-
Mhon_016731	RNA polymerase II transcription cofactor activity. It is involved in the biological process described with regulation of transcription from RNA polymerase II promoter	-
Mhon_016732	C-type lectin (CTL) or carbohydrate-recognition domain (CRD)	-
Mhon_016733	C-type lectin (CTL) or carbohydrate-recognition domain (CRD)	-
Mhon_016735	positive regulation of bone development	F26F2.7
Mhon_016736	Sec-23 interacting protein	-
Mhon_016739	Elongation factor 1-alpha 2	EF1a-F2
Mhon_016740	Belongs to the G-protein coupled receptor 1 family	-
Mhon_016743	adenylate cyclase-activating serotonin receptor signaling pathway	-
Mhon_016745	WD domain, G-beta repeat	flr
Mhon_016746	WD domain, G-beta repeat	flr
Mhon_016749	positive regulation of actin filament depolymerization	flr
Mhon_016754	DNA binding	slou
Mhon_016755	allantoin catabolic process	-
Mhon_016755	Allantoicase	-
Mhon_016757	Lysosome-associated membrane glycoprotein 1	-
Mhon_016759	oxidoreductase activity	-
Mhon_016763	converts alpha-aldose to the beta-anomer	-
Mhon_016764	Spermidine spermine N1-acetyltransferase family member 2	-
Mhon_016777	NOP56 ribonucleoprotein homolog	K07C5.4
Mhon_016778	histone methyltransferase binding	K07C5.4
Mhon_016780	Nucleolar protein	K07C5.4
Mhon_016781	histone H2A-K119 monoubiquitination	-
Mhon_016781	Zinc ion binding	-
Mhon_016782	It is involved in the biological process described with transmembrane transport	-
Mhon_016783	It is involved in the biological process described with transmembrane transport	-
Mhon_016784	protein auto-ADP-ribosylation	tnks
Mhon_016785	D-xylose 1-dehydrogenase (NADP+) activity	-
Mhon_016786	phosphopyruvate hydratase activity	-
Mhon_016787	stress-activated protein kinase signaling cascade	-
Mhon_016788	BTB/POZ domain	-
Mhon_016790	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway	-
Mhon_016791	sensory perception of sound	-
Mhon_016794	Farnesoic acid 0-methyl transferase	-
Mhon_016797	Major Facilitator Superfamily	Mct1
Mhon_016799	glucokinase activity	Hex-A
Mhon_016802	pyruvate kinase activity	PyK
Mhon_016803	Mo25-like	-
Mhon_016804	Flavin-binding monooxygenase-like	-
Mhon_016805	positive regulation of translation initiation in response to endoplasmic reticulum stress	P58IPK
Mhon_016806	cilium assembly	-
Mhon_016814	Heat shock 70 kDa protein 12A-like	-
Mhon_016815	Carboxymuconolactone decarboxylase family	-
Mhon_016818	Catalytic activity. It is involved in the biological process described with biosynthetic process	-
Mhon_016820	It is involved in the biological process described with transmembrane transport	Mct1
Mhon_016823	Leucine rich repeat C-terminal domain	-
Mhon_016824	serine arginine-rich splicing factor	-
Mhon_016826	regulation of response to stimulus	-
Mhon_016841	four-way junction helicase activity	-
Mhon_016853	Poly (ADP-ribose) polymerase family, member 9	-
Mhon_016859	Appr-1'-p processing enzyme	-
Mhon_016861	G-protein coupled receptor activity	-
Mhon_016868	FAM194 protein	-
Mhon_016869	centriole replication	-
Mhon_016873	Protein of unknown function (DUF229)	-
Mhon_016874	transcription termination factor	lds
Mhon_016875	Protein of unknown function (DUF2838)	-
Mhon_016876	nucleic acid binding	-
Mhon_016877	Fibronectin type 3 domain	-
Mhon_016879	Xeroderma pigmentosum G I-region	-
Mhon_016880	Component of the Mediator complex, a coactivator involved in regulated gene transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. Binds to and activates cyclin-dependent kinase Cdk8 that phosphorylates the CTD (C-terminal domain) of the large subunit of RNA polymerase II (RNAp II), which may inhibit the formation of a transcription initiation complex	CycC
Mhon_016882	C2H2-type zinc finger	Gl
Mhon_016884	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family	Oat
Mhon_016888	Glutathione S-transferase	-
Mhon_016889	Biotin protein ligase C terminal domain	bpl-1
Mhon_016890	glutamic-type peptidase activity	-
Mhon_016892	positive regulation of TOR signaling	-
Mhon_016893	histone H4-K16 acetylation	msl-2
Mhon_016894	corticospinal neuron axon guidance through spinal cord	slt-1
Mhon_016897	inositol monophosphate 3-phosphatase activity	-
Mhon_016898	ring finger protein, 4	-
Mhon_016899	FAM193 family C-terminal	-
Mhon_016902	Belongs to the cullin family	-
Mhon_016904	Retinol binding protein receptor	-
Mhon_016906	Retinol binding protein receptor	-
Mhon_016907	regulation of nucleic acid-templated transcription	-
Mhon_016908	negative regulation of TOR signaling	-
Mhon_016909	acetylesterase activity	-
Mhon_016912	Cytochrome P450, family	-
Mhon_016913	Cytochrome P450, family	-
Mhon_016914	monooxygenase activity	-
Mhon_016915	Cytochrome P450, family	-
Mhon_016916	monooxygenase activity	-
Mhon_016917	Cytochrome P450	-
Mhon_016920	Cytochrome P450, family	-
Mhon_016923	huntingtin	htt
Mhon_016926	negative regulation of transcription by RNA polymerase II	-
Mhon_016927	U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein	-
Mhon_016928	WD repeat and FYVE	-
Mhon_016931	signaling receptor binding	-
Mhon_016933	signaling receptor binding	-
Mhon_016937	cell surface pattern recognition receptor signaling pathway	-
Mhon_016939	Oxidoreductase family, NAD-binding Rossmann fold	-
Mhon_016946	Filamin-type immunoglobulin domains	-
Mhon_016947	bridging integrator 3	-
Mhon_016949	Lipase	-
Mhon_016954	protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation	pak-1
Mhon_016956	Protein of unknown function (DUF229)	-
Mhon_016959	Negative regulator of epidermal growth factor receptor (EGFR) signaling	-
Mhon_016960	cellular zinc ion homeostasis	-
Mhon_016961	A Receptor for Ubiquitination Targets	-
Mhon_016962	peptidase inhibitor activity	-
Mhon_016964	Importin beta-3	-
Mhon_016965	RAN binding protein 6	-
Mhon_016966	Importin beta-3	-
Mhon_016967	protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation	Pka-C3
Mhon_016968	Methyltransferase domain	-
Mhon_016969	Bacterial protein of unknown function (DUF885)	-
Mhon_016970	Bacterial protein of unknown function (DUF885)	-
Mhon_016971	Bacterial protein of unknown function (DUF885)	-
Mhon_016972	Bacterial protein of unknown function (DUF885)	-
Mhon_016973	Bacterial protein of unknown function (DUF885)	-
Mhon_016975	neuropeptide Y receptor activity	-
Mhon_016987	7 transmembrane receptor (rhodopsin family)	-
Mhon_016989	DDE superfamily endonuclease	-
Mhon_016991	transferase activity, transferring selenium-containing groups	-
Mhon_016992	protein-lysine 6-oxidase activity	SCRAL1
Mhon_016994	Lytic polysaccharide mono-oxygenase, cellulose-degrading	-
Mhon_016995	ATP-binding cassette, sub-family C (CFTR MRP), member 4	abcc4
Mhon_016995	ATP binding cassette subfamily C member 4	abcc4
Mhon_016998	It is involved in the biological process described with transmembrane transport	-
Mhon_016999	sodium-dependent L-ascorbate transmembrane transporter activity	-
Mhon_017001	sodium-dependent L-ascorbate transmembrane transporter activity	-
Mhon_017003	sodium-dependent L-ascorbate transmembrane transporter activity	-
Mhon_017008	cell redox homeostasis	-
Mhon_017010	nuclear inner membrane organization	-
Mhon_017011	protein-like	-
Mhon_017013	metal ion binding	-
Mhon_017017	Belongs to the mitochondrial carrier (TC 2.A.29) family	-
Mhon_017018	Belongs to the mitochondrial carrier (TC 2.A.29) family	-
Mhon_017019	Nuclear receptor subfamily 4, group A, member 1	-
Mhon_017020	negative regulation of gluconeogenesis	-
Mhon_017021	hydroxypyruvate reductase activity	CtBP
Mhon_017023	Appr-1'-p processing enzyme	-
Mhon_017027	Heat shock 70 kDa protein 12A-like	-
Mhon_017032	Heat shock 70 kDa protein 12A-like	-
Mhon_017038	Heat shock 70 kDa protein 12A-like	-
Mhon_017039	Heat shock 70 kDa protein 12A-like	-
Mhon_017040	Heat shock 70 kDa protein 12A-like	-
Mhon_017046	hydrolase activity, acting on acid anhydrides	-
Mhon_017048	receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway	-
Mhon_017052	regulation of CoA-transferase activity	nAChRa7
Mhon_017053	hydroxyacylglutathione hydrolase activity	-
Mhon_017058	Fumarylacetoacetate hydrolase domain-containing protein	-
Mhon_017059	Cytosol aminopeptidase family, catalytic domain	lap-2
Mhon_017060	Astacin (Peptidase family M12A)	-
Mhon_017062	SelR domain	-
Mhon_017063	Growth factor independent	pag-3
Mhon_017064	C-Type lectin	-
Mhon_017103	ribosomal protein, S18C	mRpS18C
Mhon_017104	Chromosome 20 open reading frame 194	-
Mhon_017106	Chromosome 20 open reading frame 194	-
Mhon_017107	DNA polymerase	pola1
Mhon_017108	structural constituent of cytoskeleton	-
Mhon_017109	fucose binding	-
Mhon_017110	TM2 domain	-
Mhon_017111	ATP binding	-
Mhon_017119	cellular response to leukemia inhibitory factor	-
Mhon_017121	4-hydroxyphenylpyruvate dioxygenase-like	-
Mhon_017122	cardiac muscle cell proliferation	-
Mhon_017123	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway	-
Mhon_017124	Major Facilitator Superfamily	-
Mhon_017125	monocarboxylate transporter	-
Mhon_017126	Solute carrier family 16 member 13	-
Mhon_017129	Short stature homeobox	-
Mhon_017137	histone H3-K4 acetylation	-
Mhon_017143	RNA recognition motif	-
Mhon_017145	homeobox	-
Mhon_017147	Methyltransferase domain	-
Mhon_017148	Zinc finger HIT domain-containing protein 1	-
Mhon_017149	third ventricle development	-
Mhon_017153	neutral cholesterol ester hydrolase 1	-
Mhon_017155	OAR domain	-
Mhon_017157	regulation of translation involved in cellular response to UV	RpL26
Mhon_017158	carbohydrate phosphorylation	-
Mhon_017158	Protein tyrosine kinase	-
Mhon_017160	negative regulation of phosphatase activity	-
Mhon_017162	Cupin superfamily protein	-
Mhon_017166	G-protein coupled receptor kinase activity	Gprk2
Mhon_017167	protein histidine phosphatase activity	-
Mhon_017168	polysaccharide biosynthesis domain containing 1	-
Mhon_017169	high mobility group	-
Mhon_017170	Programmed cell death	-
Mhon_017171	-	-
Mhon_017172	Uncharacterized conserved protein (DUF2043)	-
Mhon_017178	zinc finger	-
Mhon_017180	Belongs to the glycosyl hydrolase 5 (cellulase A) family	-
Mhon_017181	carbohydrate binding	-
Mhon_017186	TIR domain	-
Mhon_017193	Tetraspanin family	-
Mhon_017194	Dyp-type peroxidase family	-
Mhon_017196	carboxylase, beta	-
Mhon_017197	dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity	-
Mhon_017198	interleukin-1 receptor binding	TUBE
Mhon_017210	U2 snRNP-associated SURP	-
Mhon_017211	protein transport	-
Mhon_017212	Chromatin complexes subunit	-
Mhon_017215	Chromatin complexes subunit	-
Mhon_017216	transmembrane transport	-
Mhon_017218	Adenylyl- / guanylyl cyclase, catalytic domain	-
Mhon_017219	Adenylyl- / guanylyl cyclase, catalytic domain	-
Mhon_017220	Glycosyltransferase family 10 (fucosyltransferase) C-term	FucTA
Mhon_017221	Enoyl-(Acyl carrier protein) reductase	-
Mhon_017223	Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and specificity for either ATP or GTP is provided by different beta subunits	Scsalpha
Mhon_017224	neuropeptide Y receptor activity	-
Mhon_017225	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	-
Mhon_017230	acetylcholine-gated cation-selective channel activity	-
Mhon_017233	Coiled-coil domain-containing protein 39	-
Mhon_017236	CD209 antigen-like protein	-
Mhon_017237	carbohydrate binding	-
Mhon_017241	Selenium binding protein 1	-
Mhon_017242	Selenium binding protein 1	-
Mhon_017244	Carbonic Anhydrase	-
Mhon_017245	positive regulation of isoprenoid metabolic process	-
Mhon_017246	acyl-CoA dehydrogenase, short branched chain	-
Mhon_017248	Carbonic Anhydrase	-
Mhon_017249	It is involved in the biological process described with one-carbon metabolic process	CAH1
Mhon_017250	beta-endorphin binding	-
Mhon_017253	Cell division protein anillin	-
Mhon_017255	ATP hydrolysis coupled proton transport	-
Mhon_017259	G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway	GPROAR1
Mhon_017261	peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine	-
Mhon_017263	Baculoviral IAP	IAP2
Mhon_017264	inhibition of cysteine-type endopeptidase activity involved in apoptotic process	IAP2
Mhon_017265	NUDIX domain	-
Mhon_017266	Eukaryotic peptide chain release factor subunit	-
Mhon_017267	L-seryl-tRNA(Sec) kinase	-
Mhon_017268	Eukaryotic peptide chain release factor subunit	-
Mhon_017269	fibroblast growth factor-activated receptor activity	-
Mhon_017271	5'-nucleotidase activity	-
Mhon_017275	5'-nucleotidase activity	-
Mhon_017276	Dynein assembly factor with WDR repeat domains 1	-
Mhon_017281	minichromosome maintenance	-
Mhon_017282	Ubiquitin-associated domain-containing protein 2	-
Mhon_017283	Deoxyribodipyrimidine photo-lyase activity. It is involved in the biological process described with DNA repair	phr
Mhon_017284	RCC1 domain containing 1	-
Mhon_017293	DNA binding	-
Mhon_017295	oxidoreductase activity	-
Mhon_017296	oxidoreductase activity	-
Mhon_017297	peptidoglycan binding	PGRP-SD
Mhon_017298	peptidoglycan binding	PGRP-SD
Mhon_017300	Peptidoglycan-recognition protein	PGRP-SD
Mhon_017303	Peptidoglycan-recognition protein	PGRP-SD
Mhon_017304	peptidoglycan binding	PGRP-SD
Mhon_017310	peptidoglycan binding	PGRP-SD
Mhon_017314	COG4242 Cyanophycinase and related exopeptidases	-
Mhon_017321	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery	Nup107
Mhon_017323	Tetraspanin family	-
Mhon_017325	L27_1	-
Mhon_017326	guanylate kinase activity	-
Mhon_017327	glucokinase activity	Hex-A
Mhon_017334	protein transport	-
Mhon_017343	Trypsin-like serine protease	-
Mhon_017344	Trypsin-like serine protease	-
Mhon_017345	glucokinase activity	-
Mhon_017349	deadenylation-dependent decapping of nuclear-transcribed mRNA	-
Mhon_017354	galactosyltransferase activity	-
Mhon_017358	Catalyzes the 6-electron oxidation of protoporphyrinogen-IX to form protoporphyrin-IX	Ppox
Mhon_017359	galactosyltransferase activity	-
Mhon_017360	oxygen-dependent protoporphyrinogen oxidase activity	Ppox
Mhon_017361	Protoporphyrinogen oxidase	Ppox
Mhon_017362	-	-
Mhon_017363	mitotic chromosome condensation	-
Mhon_017366	sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity	acl-6
Mhon_017366	glycerol-3-phosphate O-acyltransferase activity	acl-6
Mhon_017367	Adducin 3 (Gamma)	add-1
Mhon_017368	omega-amidase activity	-
Mhon_017369	Amine oxidase flavin-containing	-
Mhon_017371	carboxylic ester hydrolase activity	-
Mhon_017376	Ras-related C3 botulinum toxin substrate	-
Mhon_017377	Ras-related C3 botulinum toxin substrate	-
Mhon_017381	cytoskeletal protein binding	-
Mhon_017382	smoothened signaling pathway involved in ventral spinal cord interneuron specification	Su(fu)
Mhon_017383	Belongs to the MAGUK family	-
Mhon_017384	positive regulation of DNA-binding transcription factor activity	-
Mhon_017385	TBC1 domain family member	-
Mhon_017389	DNA-directed 5'-3' RNA polymerase activity	RpII215
Mhon_017390	poly(ADP-ribose) glycohydrolase activity	-
Mhon_017393	galactosyltransferase activity	-
Mhon_017394	AMMECR1	-
Mhon_017395	Belongs to the synaptobrevin family	Ykt6
Mhon_017396	positive regulation of glomerular metanephric mesangial cell proliferation	-
Mhon_017399	BTB POZ domain-containing protein	-
Mhon_017404	ATP-dependent RNA helicase DDX58	drh-1
Mhon_017405	positive regulation of MDA-5 signaling pathway	-
Mhon_017406	-	-
Mhon_017410	catalytic activity. It is involved in the biological process described with metabolic process	-
Mhon_017411	attachment of GPI anchor to protein	-
Mhon_017412	acetylcholine-gated cation-selective channel activity	-
Mhon_017414	calcium-dependent phospholipase C activity	-
Mhon_017416	endoplasmic reticulum tubular network formation	-
Mhon_017417	regulation of chromosome separation	CkIIalpha
Mhon_017419	carbohydrate binding	-
Mhon_017420	Cilia and flagella associated protein 46	-
Mhon_017421	Parkin co-regulated protein	-
Mhon_017422	-	-
Mhon_017423	Cytochrome P450, family	-
Mhon_017424	Dual oxidase maturation factor	-
Mhon_017425	Dual oxidase maturation factor	-
Mhon_017427	R3H domain and coiled-coil containing	-
Mhon_017431	-	-
Mhon_017436	Cholinergic receptor, nicotinic, beta 4	-
Mhon_017439	creatine transmembrane transporter activity	-
Mhon_017441	Src homology 3 domains	-
Mhon_017442	protein delipidation	-
Mhon_017449	iron import into the mitochondrion	mfrn
Mhon_017450	histone acetyltransferase activity	-
Mhon_017452	Hermansky-Pudlak Syndrome 1	-
Mhon_017457	inactivation of X chromosome by genetic imprinting	-
Mhon_017458	histone H2A-K119 monoubiquitination	-
Mhon_017459	melanosome assembly	-
Mhon_017459	bile acid:sodium symporter activity	-
Mhon_017464	hematopoietic progenitor cell differentiation	-
Mhon_017465	-	-
Mhon_017469	F-box WD repeat-containing protein 4	-
Mhon_017469	WD domain, G-beta repeat	-
Mhon_017470	killer cell lectin-like receptor	-
Mhon_017478	Activating signal cointegrator 1 complex subunit 1	-
Mhon_017479	Activating signal cointegrator 1 complex subunit 1	-
Mhon_017480	inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	-
Mhon_017484	GO:0015222	-
Mhon_017485	Major Facilitator Superfamily	-
Mhon_017486	formation of cytoplasmic translation initiation complex	eIF3-S10
Mhon_017488	formation of cytoplasmic translation initiation complex	eIF3-S10
Mhon_017489	Transport protein Avl9	-
Mhon_017490	-	-
Mhon_017491	calcium ion binding	-
Mhon_017492	Hemicentin 1	-
Mhon_017494	Thrombospondin type 1 repeats	-
Mhon_017495	Thrombospondin type 1 repeats	Sema-5c
Mhon_017496	Thrombospondin type 1 repeats	Sema-5c
Mhon_017498	Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane	-
Mhon_017499	Thrombospondin type 1 repeats	-
Mhon_017500	Peptidyl-prolyl cis-trans isomerase NIMA-interacting	-
Mhon_017501	GPALPP motifs containing 1	-
Mhon_017502	adenylate cyclase-activating serotonin receptor signaling pathway	-
Mhon_017505	negative regulation of transcription elongation from RNA polymerase II promoter	-
Mhon_017506	Carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15	-
Mhon_017507	mediolateral intercalation	-
Mhon_017508	family with sequence similarity	-
Mhon_017513	mesoderm development	Mlc1
Mhon_017517	It is involved in the biological process described with protein phosphorylation	msn
Mhon_017518	protein tyrosine/serine/threonine phosphatase activity	-
Mhon_017519	Thymidylate kinase	-
Mhon_017520	Deoxythymidylate kinase (thymidylate kinase)	-
Mhon_017521	Serine/Threonine protein kinases, catalytic domain	gck-1
Mhon_017522	ATP binding. It is involved in the biological process described with protein phosphorylation	gck-1
Mhon_017523	mannose-P-dolichol utilization defect	-
Mhon_017532	regulation of vesicle fusion	-
Mhon_017534	PIF1-like helicase	-
Mhon_017537	DHHC palmitoyltransferase	-
Mhon_017542	protein serine/threonine phosphatase activity	-
Mhon_017545	positive regulation of microtubule nucleation	Dctn1
Mhon_017551	Nucleoside transmembrane transporter activity. It is involved in the biological process described with	ent-3
Mhon_017553	isomerase	-
Mhon_017554	isomerase	-
Mhon_017555	-	-
Mhon_017565	5'-nucleotidase activity	-
Mhon_017567	ribosomal large subunit biogenesis	-
Mhon_017568	ribosomal large subunit biogenesis	-
Mhon_017569	Testicular haploid expressed gene protein-like	-
Mhon_017572	Belongs to the peptidase C2 family	tra-3
Mhon_017573	-	-
Mhon_017577	positive regulation of cytolysis in other organism	PGRP-SD
Mhon_017578	regulation of transcription from RNA polymerase II promoter involved in spinal cord motor neuron fate specification	-
Mhon_017582	Type I inositol-1,4,5-trisphosphate	-
Mhon_017582	inositol-polyphosphate 5-phosphatase activity	-
Mhon_017584	inositol	-
Mhon_017586	aromatase activity	-
Mhon_017588	neuropeptide Y receptor activity	npr-11
Mhon_017590	double-strand break repair via break-induced replication	-
Mhon_017592	regulation of glycogen catabolic process	-
Mhon_017593	Domain of unknown function DUF21	-
Mhon_017594	Domain of unknown function DUF21	-
Mhon_017596	-	-
Mhon_017600	methionyl-tRNA aminoacylation	Aats-met
Mhon_017603	Sideroflexin 5	-
Mhon_017603	Tricarboxylate carrier	-
Mhon_017604	sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated	Ems
Mhon_017605	cerebral cortex regionalization	Ems
Mhon_017611	cerebral cortex regionalization	Ems
Mhon_017612	recombinational repair	-
Mhon_017613	DUF1741	-
Mhon_017615	RFT1 homolog	-
Mhon_017616	assists the folding of proteins upon ATP hydrolysis	Tcp-1eta
Mhon_017617	Folate-sensitive fragile site protein Fra10Ac1	-
Mhon_017618	RNA binding	Csl4
Mhon_017619	-	-
Mhon_017620	Peroxisome proliferator-activated receptor gamma, coactivator-related	-
Mhon_017623	dynein heavy chain binding	-
Mhon_017624	dynein heavy chain binding	-
Mhon_017625	Ninjurin	-
Mhon_017627	-	ccdc147
Mhon_017628	IBA57, iron-sulfur cluster assembly homolog (S. cerevisiae)	-
Mhon_017630	cytochrome P450	-
Mhon_017633	calcium ion binding	mlc-4
Mhon_017634	39S ribosomal protein L43	mRpL43
Mhon_017635	negative regulation of Rho protein signal transduction	-
Mhon_017636	Ankyrin repeats (many copies)	-
Mhon_017637	heme a metabolic process	-
Mhon_017638	Flavin containing amine oxidoreductase	-
Mhon_017639	Structural maintenance of chromosomes	smc3
Mhon_017640	vesicle targeting, trans-Golgi to periciliary membrane compartment	-
Mhon_017641	regulation of nucleic acid-templated transcription	-
Mhon_017642	Tetraspanin family	-
